,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
85,2019-06-25,1087.58,1115.08,1115.7,1084.6,1580000.0,6,2019,1188.0900733787803,1100.7399999999998,0.006720231042653957,Slight or No change
86,2019-06-24,1116.7,1120.0,1123.57,1113.31,1210000.0,6,2019,1187.3669826397763,1118.395,0.026775041836002877,Slight or No change
87,2019-06-21,1125.37,1109.86,1126.57,1109.72,2540000.0,6,2019,1186.0762487462314,1117.8799999999999,0.007763947344855193,Slight or No change
88,2019-06-20,1113.2,1121.7,1122.72,1107.0,1200000.0,6,2019,1185.3664276570778,1116.155,-0.010814221100615695,Slight or No change
89,2019-06-19,1104.51,1107.24,1109.43,1096.03,1340000.0,6,2019,1184.4964603756302,1104.3025,-0.007806324110671947,Slight or No change
90,2019-06-18,1105.24,1111.5,1118.78,1100.79,1730000.0,6,2019,1183.410602134263,1109.0774999999999,0.0006609265647210538,Slight or No change
91,2019-06-17,1093.89,1089.1,1101.28,1088.0,988490.0,6,2019,1182.7152559054778,1093.0674999999999,-0.010269262784553534,Slight or No change
92,2019-06-14,1086.3,1089.74,1094.76,1081.48,1230000.0,6,2019,1181.7923034919427,1088.0700000000002,-0.006938540438252594,Slight or No change
93,2019-06-13,1091.01,1084.71,1096.59,1082.57,1040000.0,6,2019,1181.063413547032,1088.72,0.004335818834576122,Slight or No change
94,2019-06-12,1079.1,1079.95,1082.52,1069.6,1180000.0,6,2019,1180.1429314074308,1077.7925,-0.01091649022465424,Slight or No change
95,2019-06-11,1081.04,1096.99,1104.01,1079.57,1680000.0,6,2019,1178.8853432606197,1090.4025,0.0017977944583449368,Slight or No change
96,2019-06-10,1082.76,1077.0,1094.84,1075.28,1430000.0,6,2019,1177.8581532821613,1082.47,0.0015910604602975553,Slight or No change
97,2019-06-07,1068.37,1054.28,1073.43,1051.15,2190000.0,6,2019,1176.0952101739672,1061.8075,-0.013290110458458071,Slight or No change
98,2019-06-06,1047.76,1046.21,1050.0,1035.51,1450000.0,6,2019,1174.741469731049,1044.8700000000001,-0.019291069573275088,Slight or No change
99,2019-06-05,1044.64,1055.0,1056.81,1033.0,2350000.0,6,2019,1172.5546661363305,1047.3625000000002,-0.002977781171260463,Slight or No change
100,2019-06-04,1054.49,1044.49,1058.44,1036.03,3030000.0,6,2019,1170.0502256052305,1048.3625,0.009429085618011923,Slight or No change
101,2019-06-03,1038.74,1066.93,1067.0,1027.03,4840000.0,6,2019,1165.7467406944145,1049.925,-0.014936130262022451,Slight or No change
102,2019-05-31,1106.5,1105.64,1113.4,1103.35,1580000.0,5,2019,1165.1195838113003,1107.2225,0.06523287829485724,Slight or No change
103,2019-05-30,1121.41,1120.15,1126.8,1115.9,904420.0,5,2019,1164.856328054432,1121.065,0.013474920921825673,Slight or No change
104,2019-05-29,1119.94,1132.7,1135.0,1111.95,1810000.0,5,2019,1164.3213814449055,1124.8975,-0.001310849733817232,Slight or No change
105,2019-05-28,1139.56,1141.48,1156.49,1138.67,1050000.0,5,2019,1164.1514782465724,1144.05,0.017518795649766883,Slight or No change
106,2019-05-24,1138.61,1152.0,1154.36,1136.71,927650.0,5,2019,1163.9975767711298,1145.4199999999998,-0.0008336550949489263,Slight or No change
107,2019-05-23,1145.34,1146.07,1150.05,1133.16,1260000.0,5,2019,1163.8461165994568,1143.655,0.005910715697209801,Slight or No change
108,2019-05-22,1155.85,1151.25,1163.78,1151.0,941280.0,5,2019,1163.7979168469642,1155.47,0.009176314456842416,Slight or No change
109,2019-05-21,1154.44,1154.48,1158.0,1143.31,1030000.0,5,2019,1163.736596014442,1152.5575,-0.0012198814725092877,Slight or No change
110,2019-05-20,1144.66,1153.0,1153.0,1138.13,1530000.0,5,2019,1163.5526979962262,1147.1975,-0.008471639929316321,Slight or No change
111,2019-05-17,1168.78,1175.83,1186.29,1166.42,1270000.0,5,2019,1163.5941938528733,1174.33,0.02107175929970473,Slight or No change
112,2019-05-16,1184.5,1171.84,1194.16,1168.45,1770000.0,5,2019,1163.8229565084662,1179.7375,0.01344992214103602,Slight or No change
113,2019-05-15,1170.8,1122.55,1178.3,1121.4,2970000.0,5,2019,1163.9487537080965,1148.2624999999998,-0.011566061629379565,Slight or No change
114,2019-05-14,1124.86,1142.32,1144.87,1123.53,2020000.0,5,2019,1163.4752177622454,1133.895,-0.03923812777587976,Slight or No change
